"Canton","Taux de chomage","Chomeurs inscrits","Demandeurs demploi","Demandeurs demploi non chomeurs","Taux de chômage","Chômeurs inscrits","Demandeurs demploi","Demandeurs demploi non chômeurs"
"ZH","3.3","27225","34156","6931","3.3","27225","34156","6931"
"BE","2.4","13658","18385","4727","2.4","13658","18385","4727"
"LU","1.7","3885","6756","2871","1.7","3885","6756","2871"
"UR","0.6","112","257","145","0.6","112","257","145"
"SZ","1.7","1455","2229","774","1.7","1455","2229","774"
"OW","0.7","153","319","166","0.7","153","319","166"
"NW","1","248","436","188","1","248","436","188"
"GL","1.8","416","713","297","1.8","416","713","297"
"ZG","2.3","1543","2615","1072","2.3","1543","2615","1072"
"FR","2.7","4466","7837","3371","2.7","4466","7837","3371"
"SO","2.6","3801","6628","2827","2.6","3801","6628","2827"
"BS","3.5","3455","5168","1713","3.5","3455","5168","1713"
"BL","2.8","4082","5540","1458","2.8","4082","5540","1458"
"SH","3","1286","2328","1042","3","1286","2328","1042"
"AR","1.7","523","866","343","1.7","523","866","343"
"AI","0.7","62","102","40","0.7","62","102","40"
"SG","2.2","6127","10363","4236","2.2","6127","10363","4236"
"GR","1.1","1166","2590","1424","1.1","1166","2590","1424"
"AG","2.9","10684","15145","4461","2.9","10684","15145","4461"
"TG","2","3058","5618","2560","2","3058","5618","2560"
"TI","3.1","5202","8675","3473","3.1","5202","8675","3473"
"VD","4.3","17155","24649","7494","4.3","17155","24649","7494"
"VS","2.8","4816","8027","3211","2.8","4816","8027","3211"
"NE","5.1","4738","6350","1612","5.1","4738","6350","1612"
"GE","5.2","12234","15497","3263","5.2","12234","15497","3263"
"JU","4.4","1619","2375","756","4.4","1619","2375","756"