"CODE","Nationalite","RATE","Taux de ch̫mage"
"ZH","Etrangers","5.3","5.3"
"ZH","Suisses","2.5","2.5"
"BE","Etrangers","5.5","5.5"
"BE","Suisses","1.8","1.8"
"LU","Etrangers","3.9","3.9"
"LU","Suisses","1.3","1.3"
"UR","Etrangers","2.1","2.1"
"UR","Suisses","0.4","0.4"
"SZ","Etrangers","3.4","3.4"
"SZ","Suisses","1.2","1.2"
"OW","Etrangers","2.2","2.2"
"OW","Suisses","0.5","0.5"
"NW","Etrangers","2.9","2.9"
"NW","Suisses","0.7","0.7"
"GL","Etrangers","3.4","3.4"
"GL","Suisses","1.4","1.4"
"ZG","Etrangers","3.9","3.9"
"ZG","Suisses","1.7","1.7"
"FR","Etrangers","5","5"
"FR","Suisses","2","2"
"SO","Etrangers","5","5"
"SO","Suisses","1.9","1.9"
"BS","Etrangers","4.6","4.6"
"BS","Suisses","2.8","2.8"
"BL","Etrangers","4.8","4.8"
"BL","Suisses","2.2","2.2"
"SH","Etrangers","5.1","5.1"
"SH","Suisses","2.2","2.2"
"AR","Etrangers","3.4","3.4"
"AR","Suisses","1.4","1.4"
"AI","Etrangers","2","2"
"AI","Suisses","0.5","0.5"
"SG","Etrangers","4.3","4.3"
"SG","Suisses","1.5","1.5"
"GR","Etrangers","2.3","2.3"
"GR","Suisses","0.7","0.7"
"AG","Etrangers","5.6","5.6"
"AG","Suisses","2.1","2.1"
"TG","Etrangers","3.9","3.9"
"TG","Suisses","1.4","1.4"
"TI","Etrangers","4.6","4.6"
"TI","Suisses","2.5","2.5"
"VD","Etrangers","5.9","5.9"
"VD","Suisses","3.5","3.5"
"VS","Etrangers","4.9","4.9"
"VS","Suisses","2.1","2.1"
"NE","Etrangers","7.4","7.4"
"NE","Suisses","4.2","4.2"
"GE","Etrangers","5.7","5.7"
"GE","Suisses","4.8","4.8"
"JU","Etrangers","9","9"
"JU","Suisses","3.6","3.6"