"Canton","Nationalite","Classes dâge 15-24, 25-49, 50 ans et plus","Mesures","Demandeurs demploi"
"ZH","Etrangers","1","15-24 ans","1178"
"ZH","Etrangers","2","25-49 ans","11188"
"ZH","Etrangers","3","50 ans et plus","3018"
"ZH","Etrangers","Total",,"15384"
"ZH","Suisses","1","15-24 ans","2671"
"ZH","Suisses","2","25-49 ans","10083"
"ZH","Suisses","3","50 ans et plus","6018"
"ZH","Suisses","Total",,"18772"
"ZH","Total","",,"34156"
"BE","Etrangers","1","15-24 ans","722"
"BE","Etrangers","2","25-49 ans","4679"
"BE","Etrangers","3","50 ans et plus","1458"
"BE","Etrangers","Total",,"6859"
"BE","Suisses","1","15-24 ans","1683"
"BE","Suisses","2","25-49 ans","5814"
"BE","Suisses","3","50 ans et plus","4029"
"BE","Suisses","Total",,"11526"
"BE","Total","",,"18385"
"LU","Etrangers","1","15-24 ans","306"
"LU","Etrangers","2","25-49 ans","1925"
"LU","Etrangers","3","50 ans et plus","671"
"LU","Etrangers","Total",,"2902"
"LU","Suisses","1","15-24 ans","591"
"LU","Suisses","2","25-49 ans","1836"
"LU","Suisses","3","50 ans et plus","1427"
"LU","Suisses","Total",,"3854"
"LU","Total","",,"6756"
"UR","Etrangers","1","15-24 ans","10"
"UR","Etrangers","2","25-49 ans","82"
"UR","Etrangers","3","50 ans et plus","38"
"UR","Etrangers","Total",,"130"
"UR","Suisses","1","15-24 ans","14"
"UR","Suisses","2","25-49 ans","57"
"UR","Suisses","3","50 ans et plus","56"
"UR","Suisses","Total",,"127"
"UR","Total","",,"257"
"SZ","Etrangers","1","15-24 ans","92"
"SZ","Etrangers","2","25-49 ans","636"
"SZ","Etrangers","3","50 ans et plus","299"
"SZ","Etrangers","Total",,"1027"
"SZ","Suisses","1","15-24 ans","137"
"SZ","Suisses","2","25-49 ans","539"
"SZ","Suisses","3","50 ans et plus","526"
"SZ","Suisses","Total",,"1202"
"SZ","Total","",,"2229"
"OW","Etrangers","1","15-24 ans","8"
"OW","Etrangers","2","25-49 ans","99"
"OW","Etrangers","3","50 ans et plus","37"
"OW","Etrangers","Total",,"144"
"OW","Suisses","1","15-24 ans","26"
"OW","Suisses","2","25-49 ans","70"
"OW","Suisses","3","50 ans et plus","79"
"OW","Suisses","Total",,"175"
"OW","Total","",,"319"
"NW","Etrangers","1","15-24 ans","18"
"NW","Etrangers","2","25-49 ans","112"
"NW","Etrangers","3","50 ans et plus","42"
"NW","Etrangers","Total",,"172"
"NW","Suisses","1","15-24 ans","28"
"NW","Suisses","2","25-49 ans","113"
"NW","Suisses","3","50 ans et plus","123"
"NW","Suisses","Total",,"264"
"NW","Total","",,"436"
"GL","Etrangers","1","15-24 ans","34"
"GL","Etrangers","2","25-49 ans","213"
"GL","Etrangers","3","50 ans et plus","116"
"GL","Etrangers","Total",,"363"
"GL","Suisses","1","15-24 ans","48"
"GL","Suisses","2","25-49 ans","158"
"GL","Suisses","3","50 ans et plus","144"
"GL","Suisses","Total",,"350"
"GL","Total","",,"713"
"ZG","Etrangers","1","15-24 ans","85"
"ZG","Etrangers","2","25-49 ans","810"
"ZG","Etrangers","3","50 ans et plus","322"
"ZG","Etrangers","Total",,"1217"
"ZG","Suisses","1","15-24 ans","144"
"ZG","Suisses","2","25-49 ans","708"
"ZG","Suisses","3","50 ans et plus","546"
"ZG","Suisses","Total",,"1398"
"ZG","Total","",,"2615"
"FR","Etrangers","1","15-24 ans","452"
"FR","Etrangers","2","25-49 ans","2413"
"FR","Etrangers","3","50 ans et plus","704"
"FR","Etrangers","Total",,"3569"
"FR","Suisses","1","15-24 ans","593"
"FR","Suisses","2","25-49 ans","2329"
"FR","Suisses","3","50 ans et plus","1346"
"FR","Suisses","Total",,"4268"
"FR","Total","",,"7837"
"SO","Etrangers","1","15-24 ans","328"
"SO","Etrangers","2","25-49 ans","1894"
"SO","Etrangers","3","50 ans et plus","705"
"SO","Etrangers","Total",,"2927"
"SO","Suisses","1","15-24 ans","554"
"SO","Suisses","2","25-49 ans","1759"
"SO","Suisses","3","50 ans et plus","1388"
"SO","Suisses","Total",,"3701"
"SO","Total","",,"6628"
"BS","Etrangers","1","15-24 ans","208"
"BS","Etrangers","2","25-49 ans","1977"
"BS","Etrangers","3","50 ans et plus","534"
"BS","Etrangers","Total",,"2719"
"BS","Suisses","1","15-24 ans","339"
"BS","Suisses","2","25-49 ans","1395"
"BS","Suisses","3","50 ans et plus","715"
"BS","Suisses","Total",,"2449"
"BS","Total","",,"5168"
"BL","Etrangers","1","15-24 ans","189"
"BL","Etrangers","2","25-49 ans","1596"
"BL","Etrangers","3","50 ans et plus","503"
"BL","Etrangers","Total",,"2288"
"BL","Suisses","1","15-24 ans","418"
"BL","Suisses","2","25-49 ans","1635"
"BL","Suisses","3","50 ans et plus","1199"
"BL","Suisses","Total",,"3252"
"BL","Total","",,"5540"
"SH","Etrangers","1","15-24 ans","131"
"SH","Etrangers","2","25-49 ans","726"
"SH","Etrangers","3","50 ans et plus","265"
"SH","Etrangers","Total",,"1122"
"SH","Suisses","1","15-24 ans","230"
"SH","Suisses","2","25-49 ans","601"
"SH","Suisses","3","50 ans et plus","375"
"SH","Suisses","Total",,"1206"
"SH","Total","",,"2328"
"AR","Etrangers","1","15-24 ans","29"
"AR","Etrangers","2","25-49 ans","192"
"AR","Etrangers","3","50 ans et plus","85"
"AR","Etrangers","Total",,"306"
"AR","Suisses","1","15-24 ans","72"
"AR","Suisses","2","25-49 ans","243"
"AR","Suisses","3","50 ans et plus","245"
"AR","Suisses","Total",,"560"
"AR","Total","",,"866"
"AI","Etrangers","1","15-24 ans","8"
"AI","Etrangers","2","25-49 ans","17"
"AI","Etrangers","3","50 ans et plus","8"
"AI","Etrangers","Total",,"33"
"AI","Suisses","1","15-24 ans","10"
"AI","Suisses","2","25-49 ans","25"
"AI","Suisses","3","50 ans et plus","34"
"AI","Suisses","Total",,"69"
"AI","Total","",,"102"
"SG","Etrangers","1","15-24 ans","599"
"SG","Etrangers","2","25-49 ans","3294"
"SG","Etrangers","3","50 ans et plus","1186"
"SG","Etrangers","Total",,"5079"
"SG","Suisses","1","15-24 ans","890"
"SG","Suisses","2","25-49 ans","2531"
"SG","Suisses","3","50 ans et plus","1863"
"SG","Suisses","Total",,"5284"
"SG","Total","",,"10363"
"GR","Etrangers","1","15-24 ans","86"
"GR","Etrangers","2","25-49 ans","827"
"GR","Etrangers","3","50 ans et plus","344"
"GR","Etrangers","Total",,"1257"
"GR","Suisses","1","15-24 ans","199"
"GR","Suisses","2","25-49 ans","549"
"GR","Suisses","3","50 ans et plus","585"
"GR","Suisses","Total",,"1333"
"GR","Total","",,"2590"
"AG","Etrangers","1","15-24 ans","789"
"AG","Etrangers","2","25-49 ans","4823"
"AG","Etrangers","3","50 ans et plus","1668"
"AG","Etrangers","Total",,"7280"
"AG","Suisses","1","15-24 ans","1178"
"AG","Suisses","2","25-49 ans","3838"
"AG","Suisses","3","50 ans et plus","2849"
"AG","Suisses","Total",,"7865"
"AG","Total","",,"15145"
"TG","Etrangers","1","15-24 ans","317"
"TG","Etrangers","2","25-49 ans","1774"
"TG","Etrangers","3","50 ans et plus","704"
"TG","Etrangers","Total",,"2795"
"TG","Suisses","1","15-24 ans","477"
"TG","Suisses","2","25-49 ans","1327"
"TG","Suisses","3","50 ans et plus","1019"
"TG","Suisses","Total",,"2823"
"TG","Total","",,"5618"
"TI","Etrangers","1","15-24 ans","326"
"TI","Etrangers","2","25-49 ans","2531"
"TI","Etrangers","3","50 ans et plus","1177"
"TI","Etrangers","Total",,"4034"
"TI","Suisses","1","15-24 ans","760"
"TI","Suisses","2","25-49 ans","2395"
"TI","Suisses","3","50 ans et plus","1486"
"TI","Suisses","Total",,"4641"
"TI","Total","",,"8675"
"VD","Etrangers","1","15-24 ans","936"
"VD","Etrangers","2","25-49 ans","8712"
"VD","Etrangers","3","50 ans et plus","2518"
"VD","Etrangers","Total",,"12166"
"VD","Suisses","1","15-24 ans","1682"
"VD","Suisses","2","25-49 ans","7249"
"VD","Suisses","3","50 ans et plus","3552"
"VD","Suisses","Total",,"12483"
"VD","Total","",,"24649"
"VS","Etrangers","1","15-24 ans","454"
"VS","Etrangers","2","25-49 ans","2411"
"VS","Etrangers","3","50 ans et plus","907"
"VS","Etrangers","Total",,"3772"
"VS","Suisses","1","15-24 ans","678"
"VS","Suisses","2","25-49 ans","2246"
"VS","Suisses","3","50 ans et plus","1331"
"VS","Suisses","Total",,"4255"
"VS","Total","",,"8027"
"NE","Etrangers","1","15-24 ans","260"
"NE","Etrangers","2","25-49 ans","1836"
"NE","Etrangers","3","50 ans et plus","574"
"NE","Etrangers","Total",,"2670"
"NE","Suisses","1","15-24 ans","647"
"NE","Suisses","2","25-49 ans","1972"
"NE","Suisses","3","50 ans et plus","1061"
"NE","Suisses","Total",,"3680"
"NE","Total","",,"6350"
"GE","Etrangers","1","15-24 ans","398"
"GE","Etrangers","2","25-49 ans","5780"
"GE","Etrangers","3","50 ans et plus","1423"
"GE","Etrangers","Total",,"7601"
"GE","Suisses","1","15-24 ans","778"
"GE","Suisses","2","25-49 ans","5037"
"GE","Suisses","3","50 ans et plus","2081"
"GE","Suisses","Total",,"7896"
"GE","Total","",,"15497"
"JU","Etrangers","1","15-24 ans","63"
"JU","Etrangers","2","25-49 ans","505"
"JU","Etrangers","3","50 ans et plus","161"
"JU","Etrangers","Total",,"729"
"JU","Suisses","1","15-24 ans","297"
"JU","Suisses","2","25-49 ans","817"
"JU","Suisses","3","50 ans et plus","532"
"JU","Suisses","Total",,"1646"
"JU","Total","",,"2375"